number,value,state,params_class_weight_benign,params_classifier_dropout,params_entropy_lambda,params_learning_rate,params_patch_proj_dropout,params_weight_decay,user_attrs_best_avg_val_loss,user_attrs_best_epoch,user_attrs_best_epoch_fold_val_accs,user_attrs_best_epoch_fold_val_losses,user_attrs_per_fold_best_val_loss,user_attrs_pruned_epoch
10,0.32670917308141034,COMPLETE,3.637997627258301,0.29177170991897583,0.00041304971521047214,6.115302238095556e-05,0.34503594040870667,1.0694741619531167e-06,0.32670917308141034,5.0,"[0.7777777777777778, 0.7777777777777778, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632]","[0.43224192358078045, 0.2935344372830918, 0.34155766251742053, 0.30433798361474673, 0.26187385841101213]","[0.31472593607355115, 0.28297016010918696, 0.20299741034518534, 0.30433798361474673, 0.10364676036927353]",
11,0.4057301689017262,PRUNED,2.3474111557006836,0.3518630564212799,2.0474693143535306e-05,0.00017584470517591162,0.545991063117981,0.00020148105193433343,,,,,,7.0
12,0.2429065919949632,COMPLETE,2.0461606979370117,0.4186336398124695,0.00012738299977474394,0.0003572139161506529,0.36385440826416016,3.615245890662917e-06,0.2429065919949632,7.0,"[1.0, 0.8333333333333334, 0.8421052631578947, 0.9473684210526315, 0.8947368421052632]","[0.017599441813002967, 0.39426558876282847, 0.3493531790461355, 0.2464795323334969, 0.20683521801935226]","[0.017599441813002967, 0.21025630506975782, 0.3493531790461355, 0.2464795323334969, 0.09901073860110525]",
13,0.2804004260591887,COMPLETE,3.939164161682129,0.3256237506866455,0.002535409027492057,3.267512337881155e-05,0.16465136408805847,0.00010186364448807568,0.2804004260591887,9.0,"[0.7777777777777778, 0.9444444444444444, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632]","[0.27760144889099236, 0.11798844522538982, 0.207308940247075, 0.5123070701974939, 0.28679622573499247]","[0.2771055338558249, 0.06594070441723411, 0.1651172359819324, 0.3421205695171681, 0.2822372935617367]",
14,0.367142934871331,COMPLETE,3.4554524421691895,0.5323695540428162,0.00170762531720977,9.84783652998268e-05,0.46373450756073,2.142592647681513e-05,0.367142934871331,3.0,"[0.7222222222222222, 0.8888888888888888, 0.8947368421052632, 0.8947368421052632, 0.6842105263157895]","[0.4891270153821097, 0.24642519063248378, 0.2903944035060704, 0.3273320095919955, 0.48243605524399563]","[0.38528985229256957, 0.24642519063248378, 0.16831339110205595, 0.31944829809416614, 0.17297935094723615]",
15,0.24350705053670962,COMPLETE,2.5591542720794678,0.22381407022476196,3.376272858313084e-05,0.0006827596417469723,0.26479411125183105,0.0006058001920167675,0.24350705053670962,9.0,"[0.9444444444444444, 0.8333333333333334, 0.8947368421052632, 0.9473684210526315, 1.0]","[0.0579684589264515, 0.2515574492446338, 0.3723763181291552, 0.5165451350443271, 0.019087891338980444]","[0.03487724795094335, 0.157175234327345, 0.22435345350593133, 0.21961422760413024, 0.019087891338980444]",
16,0.5298559544332766,PRUNED,2.0290975636542266,0.15992784104047406,0.0008635538223004313,0.0002877364429728412,0.5378148443151464,0.00036512119687486335,,,,,,7.0
17,0.2367591007098179,COMPLETE,2.017787170917975,0.40748509464952937,0.00011702365815216542,5.3786000458907e-05,0.5024681599076272,4.001464991238905e-06,0.2367591007098179,8.0,"[0.8333333333333334, 0.8888888888888888, 0.9473684210526315, 0.8947368421052632, 0.8947368421052632]","[0.34191810057159777, 0.24562505694362674, 0.13499345692920733, 0.2934952113882242, 0.16776367771643363]","[0.1831082494471856, 0.21070931036967977, 0.1171575310917385, 0.2934952113882242, 0.16376343583217595]",
18,0.28416086132338525,COMPLETE,2.2396039287911647,0.3667265665612355,0.001085363114422195,5.890208012434981e-05,0.5096273029639224,5.613597504133975e-05,0.28416086132338525,7.0,"[0.8333333333333334, 0.9444444444444444, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315]","[0.32475125600164273, 0.2589806758368114, 0.17434004600971476, 0.5418165028684023, 0.12091582590035518]","[0.26681357599252603, 0.25303559307940304, 0.08652312093084004, 0.37429181773194087, 0.11793822019704318]",
19,0.2907488750534085,COMPLETE,2.2097871519641377,0.2787068710401059,0.00030769747791639933,3.077376224696244e-05,0.42843196373429704,1.057086503376393e-06,0.2907488750534085,7.0,"[0.8333333333333334, 0.8888888888888888, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315]","[0.34990491957351977, 0.2328791531528825, 0.23111453592336098, 0.38343812482382517, 0.25640764179345416]","[0.3266190270676614, 0.06144427255175147, 0.18637942611563799, 0.3345009522806657, 0.19708054275868467]",
20,0.2967395286580735,COMPLETE,2.7690100011579846,0.19336894108935707,0.00011314341237122398,5.4362099443982345e-05,0.4982840805331313,2.3060921950640295e-05,0.2967395286580735,6.0,"[0.8333333333333334, 0.8888888888888888, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315]","[0.3481991632413863, 0.2185924071966383, 0.21993065154578958, 0.49637249880010803, 0.20060292250644507]","[0.3377218467155924, 0.09392770406290335, 0.13657049389875234, 0.31739821057080436, 0.1367897925145754]",
21,0.4875160783836125,PRUNED,2.0443961347440855,0.4153625714447931,0.0001389508217885951,0.0001996909601599588,0.3863231194086244,4.112494674385156e-06,,,,,,7.0
22,0.272995211284116,COMPLETE,2.1935396076443108,0.46260833252714173,7.381695850608398e-05,0.00011816493802524792,0.33179805661820605,3.840780912810128e-06,0.272995211284116,4.0,"[0.7777777777777778, 0.9444444444444444, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632]","[0.293410364413123, 0.22251342374753827, 0.22762153111455663, 0.2888175057671201, 0.3326132313782421]","[0.04425920132469625, 0.22251342374753827, 0.22762153111455663, 0.2888175057671201, 0.23279510826786895]",
23,0.3105273854635803,COMPLETE,2.019059468020921,0.3886859241840908,0.00044559709515734126,7.752987834056412e-05,0.5115752544224844,9.360528050089317e-06,0.3105273854635803,4.0,"[0.8333333333333334, 0.9444444444444444, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]","[0.28478713555604274, 0.231035024661954, 0.22152622893918306, 0.4025021331663562, 0.4127864049943654]","[0.20298557676563986, 0.231035024661954, 0.22152622893918306, 0.3264547589045067, 0.24182212357501207]",
24,0.30099277539688873,COMPLETE,2.4169095158089746,0.4573831819552439,0.0001909284909787539,4.509012093612572e-05,0.38946181376275857,2.1934215076444856e-06,0.30099277539688873,7.0,"[0.7222222222222222, 0.9444444444444444, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947]","[0.3469534855224386, 0.2633948889582219, 0.1956394930047712, 0.4248183142021605, 0.2741576952968516]","[0.21832450367347495, 0.2633948889582219, 0.16411236869259338, 0.36879290071757215, 0.18075156212666785]",
25,0.4688633163150281,PRUNED,2.1905680415255295,0.4224992785478892,3.5407805304457696e-05,0.00035659927206838326,0.4589810626910788,6.410624614835257e-06,,,,,,7.0
26,0.24402535435690648,COMPLETE,2.3368235396011037,0.38985633776784967,0.0005884146305078528,4.041393620769171e-05,0.48595484866424954,2.156415747137878e-06,0.24402535435690648,11.0,"[0.8333333333333334, 0.8888888888888888, 0.9473684210526315, 0.8421052631578947, 0.8947368421052632]","[0.2050220269938513, 0.18694612471467073, 0.1588962386571869, 0.3936895396376425, 0.2755728417811808]","[0.2050220269938513, 0.12817265576065986, 0.1588962386571869, 0.366837057213783, 0.19801307647752478]",
27,0.28248386409869186,COMPLETE,2.5696538721697735,0.3276452963459454,8.140563084057537e-05,7.448661374708343e-05,0.4245083143944565,1.995705371693879e-05,0.28248386409869186,4.0,"[0.8888888888888888, 0.9444444444444444, 0.8421052631578947, 0.8947368421052632, 0.9473684210526315]","[0.29100446408827135, 0.15830030804398929, 0.3519088745448052, 0.3521840799183242, 0.2590215938980691]","[0.08217422678715477, 0.15830030804398929, 0.18288924078852256, 0.33215586843557265, 0.14437828954588008]",
28,0.2910456186977932,COMPLETE,2.1290115920934514,0.4940039558709898,0.00021834503859324074,0.00013265464875222139,0.5388935693346079,0.001535541273715387,0.2910456186977932,4.0,"[0.8333333333333334, 0.8888888888888888, 1.0, 0.8947368421052632, 0.9473684210526315]","[0.4853352378572203, 0.2538005470291864, 0.11353756053109751, 0.4066250000921029, 0.19592974797935886]","[0.2553666632500911, 0.20228034586559968, 0.11353756053109751, 0.3475053584399192, 0.19592974797935886]",
29,1.0473865588219338,PRUNED,2.3236563220241875,0.3116287146723625,1.5214720867607164e-05,0.0009207950367785232,0.30971785932752255,1.7655454933699309e-06,,,,,,7.0
30,0.5665341524882319,PRUNED,3.257526016059626,0.4412952223105158,0.0014169839584144348,0.00043212397509633,0.3622387609410769,0.000378468759016223,,,,,,7.0
31,0.5777779263879737,PRUNED,2.621522787788649,0.21761411878706904,3.607576175713083e-05,0.0008533049791298802,0.2712977315281391,0.000531425188299606,,,,,,7.0
32,0.36058446035568226,PRUNED,2.5296385269734487,0.191994436395176,2.904592841811668e-05,0.0006480505506152958,0.24982686852881442,0.0007625517938096715,,,,,,7.0
33,0.32983898797067124,COMPLETE,2.107459442574886,0.25671644487844747,0.00011128715655311817,0.000643203218225516,0.2943971865386996,0.00020496095839260493,0.32983898797067124,5.0,"[0.8888888888888888, 0.8333333333333334, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632]","[0.3101601386939087, 0.5808841020595487, 0.30598758217131133, 0.19416063958899604, 0.2580024773395914]","[0.09155163188026766, 0.3193157563606898, 0.1855415690484108, 0.17812333934770028, 0.2580024773395914]",
34,0.3142001250862021,COMPLETE,2.7416742060894075,0.1922732315680225,5.601462469416639e-05,0.0002480493092423822,0.21482741178945888,9.349221903274561e-05,0.3142001250862021,9.0,"[0.8333333333333334, 0.8888888888888888, 0.8421052631578947, 0.7894736842105263, 0.8947368421052632]","[0.42964692296269846, 0.28025652886231, 0.3054874318638065, 0.398176166353832, 0.15743357538836358]","[0.3058817106405816, 0.1436170018341727, 0.2969203430586357, 0.3334601369037536, 0.15743357538836358]",
35,0.3393454246349766,COMPLETE,2.469713472075535,0.22798383709566575,1.72908316030248e-05,0.0006357588917820064,0.47536698302359615,0.0011378608913555786,0.3393454246349766,7.0,"[0.8333333333333334, 0.9444444444444444, 0.7894736842105263, 0.8947368421052632, 0.9473684210526315]","[0.3689243923880288, 0.1989269440814433, 0.42493275995681007, 0.604070471542447, 0.0998725552061536]","[0.09726918967583881, 0.1989269440814433, 0.19488381154172585, 0.3692416287489185, 0.0998725552061536]",
36,0.4853305033953201,PRUNED,2.9980187612927005,0.37202863435648803,2.5889769863454425e-05,0.0007302559599216328,0.19512252552992237,0.0003363790213119844,,,,,,7.0
37,0.2688461608746408,COMPLETE,2.2985636302121293,0.2623922593200589,1.2278469426588231e-05,0.0003734314274139041,0.23515122379339343,0.0006463927819643295,0.2688461608746408,7.0,"[0.8333333333333334, 0.8888888888888888, 0.9473684210526315, 0.8421052631578947, 0.8947368421052632]","[0.18608922000146283, 0.3209155512360802, 0.09376947026008098, 0.5156042793630724, 0.22785228351250753]","[0.008312504886548468, 0.21910838747215974, 0.09376947026008098, 0.3180507347477894, 0.22785228351250753]",
38,0.24811652482635482,COMPLETE,2.1056121181199123,0.40752418072717816,5.043814325584772e-05,4.1366118795367874e-05,0.5178413241630413,3.126045297338046e-05,0.24811652482635482,9.0,"[0.8888888888888888, 0.9444444444444444, 0.9473684210526315, 0.8947368421052632, 0.8947368421052632]","[0.23007254129111565, 0.11750743803046741, 0.18106644297940397, 0.50785959137609, 0.20407661045469708]","[0.23007254129111565, 0.0660761969530511, 0.17725792868479498, 0.3782322805276827, 0.20407661045469708]",
39,0.48993623899546235,PRUNED,2.4495525981901505,0.21339624070765012,0.003867167300344143,0.0002209557883976259,0.15068475488117014,7.405956337891337e-06,,,,,,7.0
